ID,Domain,Topic,Question,Option A,Option B,Option C,Option D,Option E,Correct Answer,Explanation,Created At
132,Java Basics,Import Statements,What happens when compiling and running the following code? import java.util.Date; import java.sql.Date; class Test { public static void main(String[] args) { Date d = new Date(); } },It prints the current date.,Compilation error: reference to Date is ambiguous.,Compilation error: cannot find symbol Date.,It prints 'null'.,Runtime exception (NullPointerException) is thrown.,B,"Two imports bring in classes named Date from different packages, making the reference to Date ambiguous. The code fails to compile because the compiler cannot determine which Date class to use.",2025-06-08 01:07:22
133,Data Types,Primitive Casting and Overflow,What is the output of the following code? int i = 258; byte b = (byte) i; System.out.println(b);,258,2,0,-2,Compilation error,B,"Casting an int to a byte results in overflow. The value 258 modulo 256 is 2, so the byte value is 2. The output is 2.",2025-06-08 01:07:22
134,Data Types,Autoboxing and NullPointerException,What happens when the following code is executed? Integer i = null; int j = i;,j will be 0,j will be null,Compilation error,Runtime NullPointerException,j will be uninitialized,D,"Because i is null and unboxing occurs when assigning to int j, a NullPointerException is thrown at runtime.",2025-06-08 01:07:22
135,Data Types,char Arithmetic,What does the following code print? char c = 'A' + 1; System.out.println(c);,A,B,65,Compile error,Runtime error,B,"'A' has ASCII value 65, adding 1 yields 66, which corresponds to 'B'. The code prints B.",2025-06-08 01:07:22
136,Operators and Decision Constructs,Nested if/else,What does the following code print? int x = 5,"y = 3; if (x < 10) if (y < 5) System.out.println(""A""); else System.out.println(""B"");,""A""",B,Nothing,Compile error,Runtime exception,A,"The else pairs with the nearest if. Here x < 10 and y < 5 are both true, so it prints \""A\"". If y >= 5, it would print \""B\""; if x >= 10, nothing would be printed.",2025-06-08 01:07:22
137,Loop Constructs,do-while Loop,What does the following code print? int i = 3; do { System.out.println(i); } while (i < 3);,3,Nothing (no output),Infinite loop,Compile error,Runtime error,A,"A do-while loop executes its body at least once before checking the condition. Here i=3, so it prints 3 once.",2025-06-08 01:07:22
138,Loop Constructs,Break Statement,What is the output of the following code? for (int i = 0; i < 3; i++) { if (i == 1) break; System.out.print(i); },012,01,0,1,Compile error,C,"When i becomes 1, the break statement terminates the loop. The loop prints i for i=0, then breaks out at i=1, so only 0 is printed.",2025-06-08 01:07:22
139,Methods and Encapsulation,Pass by Value (primitive),What is the output of the following code? int i = 5; { int x = i; x = 10; } System.out.println(i);,5,10,Compile error,Runtime error,5 then 10,A,Variables are passed by value. The assignment x = i creates a copy. Changing x does not change i. The output is 5.,2025-06-08 01:07:22
140,Inheritance,Constructors and super,What happens when compiling the following code? class A { A(int x) {} } class B extends A { B() {} },It compiles successfully.,Compile error: no default constructor in A.,Runtime error.,It compiles but throws exception at runtime.,Unknown behavior.,B,"Class A has only a parameterized constructor and no default (no-arg) constructor. B's constructor must explicitly call super(x). Without it, the compiler cannot insert a default super() call, causing a compile error.",2025-06-08 01:07:22
141,Exceptions,Checked vs Unchecked,Which of the following code snippets causes a compilation error? A: void m() { throw new RuntimeException(); } B: void m() { throw new Error(); } C: void m() throws Exception { throw new IOException(); } D: void m() { throw new IOException(); } E: void m() throws IOException { throw new IOException(); },A only,D only,C and E,D and E,B and D,B,"Throwing RuntimeException or Error (unchecked) in a method requires no declaration. Declaring and throwing IOException works if declared or caught. D has no throws clause, so throw new IOException() is a compile error.",2025-06-08 01:07:22
142,Exceptions,Finally Overrides Return,What is the output of the following code? public static int test() { try { return 1; } finally { return 2; } } System.out.println(test());,1,2,No output (program hangs),Compile error,Runtime exception,B,The finally block executes even after a return in try. Its return overrides the try’s return. Thus test() returns 2.,2025-06-08 01:07:22
143,Exceptions,Catch Order,What is the problem with the following code? try { } catch (Exception e) { } catch (ArithmeticException e) { },No problem; it compiles.,Unreachable catch block for ArithmeticException.,Catch blocks must be in alphabetical order.,Multiple catch blocks require finally block.,Cannot catch specific exceptions after a general one.,B,The catch for ArithmeticException is unreachable because Exception is a superclass. The more specific catch must come before the general one.,2025-06-08 01:07:22
144,Arrays,Multi-dimensional arrays,What happens when executing the following code? int[][] arr = new int[2][]; arr[0] = new int[1]; System.out.println(arr[1][0]);,Prints 0,Prints null,Runtime NullPointerException,Compile error,Runtime ArrayIndexOutOfBoundsException,C,arr[1] was never initialized (it's null). Accessing arr[1][0] causes a NullPointerException at runtime.,2025-06-08 01:07:22
145,API Classes,Lambda Syntax,What is wrong with this code? Predicate<String> p = s -> return s.isEmpty();,It compiles and always returns true,It compiles and always returns false,It causes a runtime exception,Compilation error,Nothing is wrong,D,Lambda syntax: you cannot use 'return' in a lambda expression without braces. Either remove 'return' or use braces around the body. This code does not compile.,2025-06-08 01:07:22
146,Operators and Decision Constructs,Ternary Operator Type,What is the output of the following code? int x = 5; long y = 10; System.out.println((true) ? x : y);,5,5L,10,Compile error,Runtime error,A,"The conditional operator returns the type that can hold both operands. x is promoted to long. Since the condition is true, it returns x (5), which is printed as 5.",2025-06-08 01:07:22
147,Inheritance,Final Class,What happens when compiling this code? final class A {} class B extends A {},It compiles successfully.,Compile error: cannot inherit from final A.,Runtime error,No output,An exception is thrown,B,A final class cannot be subclassed. Declaring B extends final A causes a compile-time error.,2025-06-08 01:07:22
148,Inheritance,Abstract Class,What is wrong with the following code? abstract class A {} class B { public static void main(String[] args) { A a = new A(); } },It prints A,It prints nothing,Compile error: cannot instantiate abstract A.,Runtime error,It compiles successfully,C,Abstract classes cannot be instantiated. Attempting to create new A() causes a compile-time error.,2025-06-08 01:07:22
149,Methods and Encapsulation,Private Constructor,What happens if you try to compile and run this? class A { private A() {} } new A();,It compiles successfully.,Compile error: A() has private access.,Runtime error,It prints an empty line,None of the above,B,"The constructor A() is private, so it cannot be accessed from outside. Attempting new A() causes a compile-time access error.",2025-06-08 01:07:22
150,Exceptions,Finally Always Executes,What is the output? try { System.out.println(1); } finally { System.out.println(2); },1,2,1 then 2,Compile error,Runtime exception,C,"The try block prints 1, and the finally block always executes after, printing 2. So it prints 1 then 2.",2025-06-08 01:07:22
151,Data Types,Numeric Literals,What is wrong with the following declaration? long l = 10000000000;,No error; l is 10000000000,Compile error: integer number too large,It prints a random number,Runtime error,It becomes a double,B,The literal 10000000000 is an int literal by default. It's too large for int. You must suffix L (10000000000L) for a long literal.,2025-06-08 01:07:22
152,Loops,Switch Fall-Through with Loops,What is the output? int n=0; for(int i=0;i<2;i++) { switch(i) { case 0: n+=10; case 1: n+=20; break; } } System.out.println(n);,20,30,50,60,Compile error,C,Iteration i=0: hits case 0 (adds 10) then falls through to case 1 (adds 20). n=30. Iteration i=1: hits case 1 (adds 20). Total n=50.,2025-06-08 01:07:22
153,Java Basics,Import Statements,What happens when you have two imports with the same class name?,It prints the current date,Compilation error: reference is ambiguous,Compilation error: cannot find symbol,It prints null,Runtime exception,B,Two imports bring in classes with the same name making the reference ambiguous.,2025-06-08 01:16:48
154,Data Types,Primitive Casting,What is the output when casting 258 to byte?,258,2,0,-2,Compilation error,B,Casting an int to byte results in overflow. 258 modulo 256 is 2.,2025-06-08 01:16:48
155,Data Types,Autoboxing,What happens when unboxing a null Integer?,j will be 0,j will be null,Compilation error,Runtime NullPointerException,j will be uninitialized,D,Unboxing a null Integer throws a NullPointerException at runtime.,2025-06-08 01:16:48
156,Data Types,Wrapper Caching,"What is the output of the following code? Integer i1 = 100, i2 = 100; System.out.println(i1 == i2); Integer i3 = 128, i4 = 128; System.out.println(i3 == i4);",true true,true false,false true,false false,Compile error,B,"Java caches Integer objects for values in the range -128 to 127. Thus i1 and i2 refer to the same cached object (true), but i3 and i4 do not (false).",2025-06-08 01:17:37
157,Operators and Decision Constructs,Nested if/else,"What does the following code print? int x = 5, y = 3; if (x < 10) if (y < 5) System.out.println(""A""); else System.out.println(""B"");",A,B,Nothing,Compile error,Runtime exception,A,"The else pairs with the nearest if. Here x < 10 and y < 5 are both true, so it prints ""A"". If y >= 5, it would print ""B""; if x >= 10, nothing would be printed.",2025-06-08 01:17:37
158,Operators and Decision Constructs,Switch Statement Fall-Through,"What is the output of the following code? int i = 1; switch (i) { case 1: System.out.println(""One""); case 2: System.out.println(""Two""); }",One Two,One,Two,Compile error,Runtime error,A,"Without a break statement, execution falls through. With i=1, it prints ""One"" then continues to case 2 and prints ""Two"".",2025-06-08 01:17:37
159,Loop Constructs,Enhanced For Loop,"What is the output of the following code? int[] arr = {1, 2, 3}; for (int x : arr) { x++; } System.out.println(arr[0]);",1,2,3,4,Compile error,A,The enhanced for loop variable x is a copy of the array element. Incrementing x does not change the array. arr[0] remains 1.,2025-06-08 01:17:37
160,Methods and Encapsulation,Pass by Value (object reference),"What is the output of the following code? StringBuilder sb = new StringBuilder(""Hi""); modify(sb); System.out.println(sb); } public static void modify(StringBuilder b) { b.append(""!""); }",Hi!,Hi,!,Compile error,Runtime error,A,"Object references are passed by value. The method receives a copy of the reference but appending to the StringBuilder affects the original object. The output is ""Hi!"".",2025-06-08 01:17:37
161,Methods and Encapsulation,Method Overloading,"What is the output of the following code? class A { void m(int i) { System.out.println(""int""); } void m(long l) { System.out.println(""long""); } } A a = new A(); a.m(5);",int,long,Compile error,Runtime error,No output,A,"The literal 5 is an int, so the method with int parameter is chosen. It prints ""int"". If the int version were absent, it would have used m(long).",2025-06-08 01:17:37
162,Inheritance,Polymorphism (Method Overriding),"What does the following code print? class A { void m() { System.out.println(""A""); } } class B extends A { void m() { System.out.println(""B""); } } A a = new B(); a.m();",A,B,AB,Compile error,Runtime error,B,"The call is dynamically dispatched. Even though the reference is of type A, the actual object is a B, so B.m() is called, printing ""B"".",2025-06-08 01:17:37
163,Inheritance,Static Method Hiding,"What is the output of the following code? class A { static void m() { System.out.println(""A""); } } class B extends A { static void m() { System.out.println(""B""); } } A a = new B(); a.m();",A,B,AB,Compile error,Runtime error,A,"Static methods are not overridden; they are hidden. The method is resolved at compile time by reference type. Here a is of type A, so A.m() is called, printing ""A"".",2025-06-08 01:17:37
164,Arrays,Array Reference Aliasing,"What is the output of the following code? int[] a = {1, 2}; int[] b = a; b[0] = 3; System.out.println(a[0]);",1,2,3,Compile error,Runtime error,C,"Both a and b refer to the same array. Changing b[0] also changes a[0]. The array now contains [3,2], so a[0] is 3.",2025-06-08 01:17:37
165,API Classes,StringBuilder append,"What does the following code print? StringBuilder sb = new StringBuilder(""Hello""); sb.append(""World""); System.out.println(sb);",Hello,World,HelloWorld,Hello World,Runtime error,C,"StringBuilder.append adds to the existing sequence. After appending ""World"", sb contains ""HelloWorld"".",2025-06-08 01:17:37
166,API Classes,String immutability,"What does the following code print? String s = ""Hello""; s.concat(""World""); System.out.println(s);",Hello,HelloWorld,World,Compilation error,Runtime error,A,"String is immutable. s.concat(""World"") returns a new string, but s is unchanged. So it prints ""Hello"".",2025-06-08 01:17:37
167,API Classes,StringBuilder reverse,"What is the output of this code? StringBuilder sb = new StringBuilder(""abc""); sb.reverse(); System.out.println(sb);",abc,cba,Compilation error,Runtime error,acb,B,"StringBuilder.reverse() reverses the sequence. ""abc"" becomes ""cba"".",2025-06-08 01:17:37
168,API Classes,LocalDate plusDays,"What does the following code print? LocalDate date = LocalDate.of(2020, 1, 31); date = date.plusDays(1); System.out.println(date);",2020-01-32,2020-02-01,Compile error,Runtime error,None of the above,B,"LocalDate handles month rollovers. Adding one day to January 31, 2020 yields February 1, 2020, printed as 2020-02-01.",2025-06-08 01:17:37
169,API Classes,DateTimeFormatter,"What does this code print? DateTimeFormatter fmt = DateTimeFormatter.ofPattern(""MM/dd/yyyy""); System.out.println(LocalDate.of(2020,1,5).format(fmt));",01/05/2020,1/5/2020,05/01/2020,Compile error,Runtime error,A,"The pattern MM/dd/yyyy formats month and day with two digits. January 5, 2020 is printed as 01/05/2020.",2025-06-08 01:17:37
170,API Classes,ArrayList basic,"What is the output of the following code? List<String> list = new ArrayList<>(); list.add(""a""); list.add(""b""); System.out.println(list.size());",1,2,Compile error,Runtime error,0,B,"Two elements were added to the list. list.size() returns the number of elements, which is 2.",2025-06-08 01:17:37
171,API Classes,ArrayList remove,"What does the following code print? List<String> list = new ArrayList<>(); list.add(""one""); list.add(""two""); list.remove(1); System.out.println(list.get(0));",one,two,Compile error,Runtime error,None of the above,A,"list.remove(1) removes the element at index 1 (""two""). The list now contains [""one""], so get(0) returns ""one"".",2025-06-08 01:17:37
172,API Classes,Lambda Predicate,"What does the following code print? Predicate<String> p = s -> s.startsWith(""A""); System.out.println(p.test(""Apple""));",true,false,Compile error,Runtime error,Nothing,A,"The lambda defines a Predicate<String> testing start with ""A"". ""Apple"" starts with ""A"", so p.test(""Apple"") returns true.",2025-06-08 01:17:37
173,Operators and Decision Constructs,Bitwise vs Logical Operators,"What is the output? int a = 5, b = 10; if (a < 10 & b++ > 10) { } System.out.println(b);",10,11,Compile error,Runtime error,0,B,"Using & causes both sides to be evaluated. b++ is evaluated even though a<10 is true. After the test, b has been incremented from 10 to 11.",2025-06-08 01:17:37
174,Operators and Decision Constructs,Switch with Strings,"What is the output? String s = ""Java""; switch (s) { case ""java"": System.out.println(""Lower""); break; default: System.out.println(""Default""); }",Lower,Default,java,Compile error,Runtime error,B,"String comparisons in switch are case-sensitive. ""Java"" does not match ""java"", so the default case executes, printing ""Default"".",2025-06-08 01:17:37
175,Operators and Decision Constructs,Assignment in if condition,"What does the following code print? boolean b = false; if (b = true) { System.out.println(""Yes""); } else { System.out.println(""No""); }",Yes,No,Compile error,Runtime error,Nothing,A,"Inside if, b = true assigns true to b and the expression evaluates to true. Therefore ""Yes"" is printed.",2025-06-08 01:17:37
176,Loop Constructs,Infinite loop with break,"What is the output? for (;; ) { System.out.println(""Hi""); break; }",Hi,Compile error,Runtime error,Infinite loop,HiHi,A,"The for(;;) creates an infinite loop, but a break immediately exits the loop after printing once. So it prints ""Hi"" exactly once.",2025-06-08 01:17:37
177,Arrays,Varargs,"What is printed? public static void m(int... nums) { System.out.println(nums.length); } m(1, 2, 3);",1,3,0,Compile error,Runtime error,B,"Varargs collects all arguments into an array. nums contains [1,2,3], so its length is 3.",2025-06-08 01:17:37
178,Inheritance,Private Method Hiding,"What happens if you try to compile and run this? class A { private void m() {} } class B extends A { public void m() { System.out.println(""B""); } } A a = new B(); a.m();",It prints B,It prints nothing,Compile error,Runtime error,It prints A,C,"A has a private method m(), so B's m() is not an override but a new method. The reference a of type A cannot access m(). This code fails to compile (no visible method m in A).",2025-06-08 01:17:37
179,Inheritance,Constructor Chaining,"What is the output of the following code? class A { public A() { System.out.print(""A""); } } class B extends A { public B() { System.out.print(""B""); } } new B();",A,B,AB,BA,Compile error,C,"Object construction calls super() by default. When creating new B(), A's constructor prints A, then B's prints B, resulting in ""AB"".",2025-06-08 01:17:37
180,Exceptions,Catching RuntimeException,"What is the output? try { System.out.println(1/0); } catch (Exception e) { System.out.println(""Exception""); }",1,Exception,No output,Runtime error,Compile error,B,"Division by zero causes an ArithmeticException, which is a subclass of Exception. The catch catches it and prints ""Exception"".",2025-06-08 01:17:37
181,Data Types,Narrowing Conversion,What happens when compiling this code? short s = 5; s = s + 2;,"It compiles and runs, printing 7",Compile error: cannot convert int to short,It compiles with a warning,Runtime error,Nothing happens,B,The expression s + 2 is of type int. Assigning int to short requires explicit cast. This code does not compile.,2025-06-08 01:17:37
182,Data Types,Float precision,What is the output of this code? float f = 0.1f + 0.1f + 0.1f; System.out.println(f == 0.3f);,true,false,Compile error,Runtime error,0.3,B,Floating point arithmetic is imprecise. The sum of three 0.1f values is not exactly equal to 0.3f due to rounding errors.,2025-06-08 01:17:37
183,API Classes,String equals,"What is the output? String s1 = new String(""hello""); String s2 = new String(""hello""); System.out.println(s1 == s2); System.out.println(s1.equals(s2));",true true,true false,false true,false false,Compile error,C,"s1 == s2 compares references (false), but s1.equals(s2) compares content (true).",2025-06-08 01:17:37
184,Collections,HashMap put,"What does this code print? Map<String, Integer> map = new HashMap<>(); map.put(""key"", 1); map.put(""key"", 2); System.out.println(map.get(""key""));",1,2,null,Compile error,Runtime error,B,HashMap.put() replaces the value if the key already exists. The second put() replaces 1 with 2.,2025-06-08 01:17:37
185,API Classes,ArrayList contains,What is the output? List<Integer> list = new ArrayList<>(); list.add(1); list.add(2); System.out.println(list.contains(1));,true,false,1,Compile error,Runtime error,A,"ArrayList.contains() returns true if the list contains the specified element. The list contains 1, so it returns true.",2025-06-08 01:17:37
186,Java Basics,Class Structure,What is the minimum requirement for a Java source file to compile and run successfully?,It must contain a public class with a main method.,It must contain a class with a main method.,It must contain a public static void main(String args) method.,It must contain at least one class definition.,It must have a package declaration.,B,"A Java source file only needs to contain a class with a main method to compile and run. The class does not necessarily have to be public, nor does it need a package declaration if it's in the default package.",2025-06-08 01:29:03
187,Working With Java Data Types,Variable Initialization,What is the default value for an uninitialized instance variable of type double?,0,0.0,null,undefined,It depends on the JVM.,B,"Instance variables (fields) in Java are automatically initialized to their default values if not explicitly assigned. For numeric primitive types like double, the default value is 0.0.",2025-06-08 01:29:03
188,Working With Java Data Types,Object Lifecycle,How many objects are created by the time the main method finishes in this code: public class Creator { public Creator() { try { throw new Exception(); } catch (Exception e) {} } public static void main(String args) { Creator c1 = new Creator(); Creator c2 = new Creator(); Creator c3 = c1; } }?,2,3,4,5,6,C,"Two Creator objects are created (c1 and c2). Two Exception objects are created (one in each constructor call). c3 = c1 only creates a new reference, not a new object. Total: 4 objects.",2025-06-08 01:29:03
189,Using Operators and Decision Constructs,Operator Precedence,What is the final value of result? int x = 5; int y = 10; int z = 15; boolean result = x < y && y < z || z > x;,true,false,Compilation error,Runtime error,Depends on JVM,A,The expression evaluates as: (x < y && y < z) || z > x = (true && true) || true = true || true = true,2025-06-08 01:29:03
190,Using Loop Constructs,For Loop,What is the output of this code? for (int i = 0; i < 5; i++) { if (i == 2) continue; System.out.print(i); },01234,0134,0123,1234,Compilation error,B,"The loop prints 0, 1, skips 2 (due to continue), prints 3, 4. Output: 0134",2025-06-08 01:29:03
191,Working with Methods and Encapsulation,Static Keyword,What is the output of this code? public class Counter { static int count = 0; public Counter() { count++; } public static void main(String args) { Counter c1 = new Counter(); Counter c2 = new Counter(); System.out.println(Counter.count); } },0,1,2,Compilation error,Runtime error,C,"The static variable count is shared by all instances. Each constructor call increments it: c1 increments to 1, c2 increments to 2.",2025-06-08 01:29:03
192,Working with Methods and Encapsulation,Access Modifiers,Which access modifier allows a member to be accessed only within its own class?,public,protected,private,default,static,C,The private access modifier restricts access to members to only within the class where they are declared.,2025-06-08 01:29:03
193,Working with Inheritance,Abstract Classes and Interfaces,Which statement about abstract classes and interfaces is true?,A class can implement multiple abstract classes.,An interface can have concrete methods before Java 8.,An abstract class can have constructors.,All methods in an interface must be abstract.,An abstract class cannot have any concrete methods.,C,"An abstract class can have constructors, though they cannot be directly instantiated. They are used when a concrete subclass is instantiated.",2025-06-08 01:29:03
194,Handling Exceptions,Checked vs Unchecked,Which of the following is an unchecked exception?,IOException,SQLException,FileNotFoundException,NullPointerException,InterruptedException,D,NullPointerException is a RuntimeException and thus an unchecked exception. The others are checked exceptions.,2025-06-08 01:29:03
195,Handling Exceptions,Method Throwing Exception,"What is correct about this code? 

class A { 

  public void doA() throws Exception { 
   throw new Exception(); 
  } 
} 
class B extends A { 
  public void doB() { 
 doA();
 } 
}",The code compiles and runs without error.,The code compiles if throws Exception is added to doB().,The code compiles if throws Exception is added to main().,The code compiles if throws Exception is added to doB() AND main().,The code compiles if doA() is enclosed in a try-catch block within doB().,D,"doA() throws a checked exception, so doB() must either handle it or declare it. If doB() declares it, then main() must also handle or declare it.",2025-06-08 01:29:03
196,Using Operators and Decision Constructs,Compound Assignment,What is the value of x after this code executes? int x = 10; x += 5; x /= 3; x %= 2;,0,1,2,3,Compilation error,B,"x starts at 10, becomes 15 after +=5, becomes 5 after /=3 (integer division), becomes 1 after %=2.",2025-06-08 01:29:03
197,Working With Java Data Types,Casting Primitives,What is the output of this code? double d = 10.5; int i = (int) d; System.out.println(i);,10.5,10,11,Compilation error,Runtime error,B,"When a double is cast to an int, the decimal part is truncated (not rounded). So 10.5 becomes 10.",2025-06-08 01:29:03
198,Java Basics,Platform Independence,Which statement is true about Java bytecode?,It can run on any platform.,It can run on any platform only if it was compiled for that platform.,It can run on any platform that has the Java Runtime Environment.,It can run on any platform that has a Java compiler.,It can run on any platform only if that platform has both the JRE and a Java compiler.,C,"Java bytecode is platform-independent and can run on any platform that has a Java Virtual Machine (JVM), which is part of the Java Runtime Environment (JRE).",2025-06-08 01:29:03
199,Working with Methods and Encapsulation,Pass-by-Value,What will this program print? public class ChangeTest { private int myValue = 0; public void showOne(int myValue) { myValue = myValue; } public void showTwo(int myValue) { this.myValue = myValue; } public static void main(String args) { ChangeTest ct = new ChangeTest(); ct.showTwo(200); System.out.println(ct.myValue); ct.showOne(100); System.out.println(ct.myValue); } },0 followed by 100.,100 followed by 100.,0 followed by 200.,100 followed by 200.,200 followed by 200.,E,"showTwo() correctly assigns the parameter to the instance variable using this.myValue. showOne() assigns the parameter to itself due to variable shadowing, not affecting the instance variable. Result: 200 followed by 200.",2025-06-08 01:29:03
200,Working With Java Data Types,Autoboxing/Unboxing,What is the output of this code? Integer a = 10; Integer b = 10; Integer c = 200; Integer d = 200; System.out.println(a == b); System.out.println(c == d);,true true,true false,false true,false false,Compilation error,B,"Integer values between -128 and 127 are cached, so a and b refer to the same object (true). Values outside this range create new objects, so c and d are different objects (false).",2025-06-08 01:29:03
201,Working with Methods and Encapsulation,Default Constructors,Given the class: class MyClass { int x; } Which statement is true about its constructor?,It has an implicit public no-argument constructor.,It has an implicit default constructor that initializes x to 0.,It requires an explicit constructor to be defined.,It will not compile without a constructor.,It has an implicit private no-argument constructor.,B,"If no constructor is explicitly defined, Java provides a default no-argument constructor that initializes instance variables to their default values (int x to 0).",2025-06-08 01:29:03
202,Using Operators and Decision Constructs,Unary Operators,What is the value of result? int x = 5; int y = ++x; int z = y--; int result = x + y + z;,15,16,17,18,Compilation error,C,"x starts at 5. y = ++x makes x = 6, y = 6. z = y-- makes z = 6, y = 5. result = 6 + 5 + 6 = 17.",2025-06-08 01:29:03
203,Using Loop Constructs,Labeled Loops,What will this code print? void crazyLoop() { int c = 0; JACK: while (c < 8) { JILL: System.out.println(c); if (c > 3) break JACK; else c++; } },It will not compile.,It will throw an exception at runtime.,It will print numbers from 0 to 8,It will print numbers from 0 to 3,It will print numbers from 0 to 4,E,"The loop prints c (0,1,2,3,4) and breaks when c > 3, which happens after printing 4.",2025-06-08 01:29:03
204,Working with Methods and Encapsulation,Static Fields and Methods,What is the output of this code? public class StaticTest { static int x = 10; static { x += 5; } public static void main(String args) { System.out.println(x); } static { x += 10; } },10,15,25,Compilation error,Runtime error,C,"Static initializers execute in order when the class is loaded. x starts at 10, first static block adds 5 (x=15), second static block adds 10 (x=25).",2025-06-08 01:29:03
205,Java Basics,Variable Scope,What is the output of this code? public class ScopeTest { public static void main(String args) { int x = 10; { int y = 20; System.out.println(x + y); } System.out.println(x); } },30 10,30 20,Compilation error,Runtime error,30,A,"Variables declared within a block are only accessible within that block. x is accessible throughout main, y is only accessible in the inner block. Output: 30 (x+y), then 10 (x).",2025-06-08 01:29:03
206,Using Operators and Decision Constructs,Bitwise Operators,What is the output of this code? int a = 5; int b = 3; System.out.println(a | b);,1,3,5,7,Compilation error,D,Bitwise OR operation: 5 (0101) | 3 (0011) = 7 (0111).,2025-06-08 01:29:03
207,Handling Exceptions,Catching Multiple Exceptions,Which is the correct order for catch blocks if both Exception and IOException might be thrown?,catch (Exception e) {} catch (IOException e) {},catch (IOException e) {} catch (Exception e) {},The order does not matter.,It will not compile with both catch blocks.,None of the above.,B,"More specific exceptions must be caught before more general ones. IOException is more specific than Exception, so it must come first.",2025-06-08 01:29:03
208,Java Basics,Features of Java,Which of the following is NOT a core feature of Java?,Platform Independence,Object Orientation,Pointers,Automatic Memory Management,Multi-threading,C,Java is designed without explicit pointers for security and simplified memory management. The other options are all core features of Java.,2025-06-08 01:29:03
209,Creating and Using Arrays,Array of Objects,What is the output of this code? String[] names = new String[3]; System.out.println(names[0]);,null,empty string,Compilation error,Runtime error,undefined,A,"When an array of objects is created, elements are initialized to null. names[0] is null.",2025-06-08 01:29:03
210,Using Loop Constructs,Infinite Loop,What will this code print? int i = 0; while (i < 5) { System.out.print(i); },01234,000... (infinite loop),Compilation error,Runtime error,None of the above.,B,"i is never incremented, so the condition i < 5 remains true forever, printing 0 infinitely.",2025-06-08 01:29:03
211,Working with Java API - ArrayList,Generics,Which ArrayList declaration will cause a compile-time error?,ArrayList list = new ArrayList();,ArrayList<String> list = new ArrayList<String>();,ArrayList<Object> list = new ArrayList<String>();,ArrayList<Integer> list = new ArrayList<>();,ArrayList<Number> list = new ArrayList<Integer>();,C,"Due to generic invariance, ArrayList<String> cannot be assigned to ArrayList<Object> even though String is a subtype of Object.",2025-06-08 01:29:03
212,Java Basics,Comments,Which type of comment is used for Javadoc documentation?,// single line comment,/* multi-line comment */,/** Javadoc comment */,# shell-style comment,<!-- HTML comment -->,C,Javadoc comments start with /** and end with */. They are used to generate API documentation.,2025-06-08 01:29:03
213,Using Operators and Decision Constructs,Increment/Decrement,What is the output of this code? int x = 10; System.out.println(x++ + ++x);,20,21,22,23,Compilation error,C,x++ uses current value 10 then increments x to 11. ++x increments x to 12 then uses 12. Result: 10 + 12 = 22.,2025-06-08 01:29:03
214,Creating and Using Arrays,Array of Primitives Default Values,What is the output of this code? int[] arr = new int[3]; System.out.println(arr[0] + arr[1] + arr[2]);,0,1,2,Compilation error,Runtime error,A,Arrays of primitive numeric types are initialized to their default value (0 for int). 0 + 0 + 0 = 0.,2025-06-08 01:29:03
215,Working with Methods and Encapsulation,Method Arguments,What will be the output of this code? public class MethodTest { public static void changeValue(int val) { val = 100; } public static void main(String args) { int data = 50; changeValue(data); System.out.println(data); } },50,100,Compilation error,Runtime error,None of the above.,A,Java uses pass-by-value. A copy of data (50) is passed to val. Modifying val doesn't affect the original data variable.,2025-06-08 01:29:03
216,Working with Inheritance,Interface Evolution (Java 8),Which statement is true about interfaces in Java 8?,Interfaces can have private methods.,Interfaces can have abstract methods default methods and static methods.,Interfaces can have constructors.,Interfaces can extend classes.,Interfaces can implement other interfaces.,B,"Java 8 introduced default and static methods to interfaces, in addition to abstract methods. Private methods were added in Java 9.",2025-06-08 01:29:03
217,Handling Exceptions,Exception Hierarchy,Which exception type is a subclass of RuntimeException?,IOException,SQLException,ClassNotFoundException,IllegalArgumentException,InterruptedException,D,IllegalArgumentException is a direct subclass of RuntimeException (unchecked). The others are checked exceptions.,2025-06-08 01:29:03
218,Working with Java API - StringBuilder,StringBuilder Capacity,What is the initial capacity of a StringBuilder object created with no arguments?,11,16,17,34,Compilation error,B,"When a StringBuilder is created with no arguments, its initial capacity is 16 characters.",2025-06-08 01:29:03
219,Java Basics,Class Components,Which of the following is NOT a component of a Java class?,Field,Method,Constructor,Interface,Nested Class,D,"A Java class consists of fields, methods, constructors, and nested classes. An interface is a separate construct, not a component of a class.",2025-06-08 01:29:03
220,Using Operators and Decision Constructs,Ternary Operator Nesting,What will be printed? int x = 1; int y = 2; int z = x++; int a = --y; int b = z--; b += ++z; int answ = x > a? y > b? y : b : x > z? x : z; System.out.println(answ);,0,1,2,3,-1,C,"After all operations: x=2, y=1, z=1, a=1, b=2. The ternary expression evaluates to b=2.",2025-06-08 01:29:03
221,Using Loop Constructs,Loop Comparison,Which loop construct guarantees execution of its body at least once?,for loop,while loop,do-while loop,enhanced for loop,None of the above.,C,"The do-while loop evaluates its condition after executing the body, guaranteeing at least one execution.",2025-06-08 01:29:03
222,Working with Methods and Encapsulation,Accessing Members,What is the output of this code? public class AccessTest { private int value = 10; public static void main(String args) { AccessTest at = new AccessTest(); System.out.println(at.value); } },10,0,Compilation error,Runtime error,None of the above.,A,"Private members are accessible within the same class. Since main() is part of AccessTest, it can access the private value field.",2025-06-08 01:29:03
